,outside_temp,boiler_flow_temp
2023-01-01 00:59:00,15.136826487109774,63.298933392812586
2023-01-01 01:00:00,15.20971294508837,63.43520614456876
2023-01-01 01:01:00,15.124840587362101,63.180246203175614
2023-01-01 01:02:00,15.125250355510344,63.21708588029933
2023-01-01 01:03:00,15.208785039678737,63.44505638709969
2023-01-01 01:04:00,15.147705107013786,63.34739693621094
2023-01-01 01:05:00,15.145705875178997,63.23611393956236
2023-01-01 01:06:00,15.152902928670278,63.25955880510628
2023-01-01 01:07:00,15.157287659115221,63.178639303855924
2023-01-01 01:08:00,15.138828973744936,63.043060620208706
2023-01-01 01:09:00,15.167202952783748,63.21374172820757
2023-01-01 01:10:00,15.1666639032465,63.30788078592599
2023-01-01 01:11:00,15.140400084791755,63.08952395085786
2023-01-01 01:12:00,15.18709259252856,63.11471490877728
2023-01-01 01:13:00,15.138577135941205,63.033635309880985
2023-01-01 01:14:00,15.20871202100011,62.92360966306867
2023-01-01 01:15:00,15.16748227372536,62.985835654702804
2023-01-01 01:16:00,15.179214346223068,62.950355804738535
2023-01-01 01:17:00,15.129668263608098,62.90084330632755
2023-01-01 01:18:00,15.147008981834169,62.86418660672934
2023-01-01 01:19:00,15.145941328500014,62.66109367192187
2023-01-01 01:20:00,15.100188828970396,62.838070912489464
2023-01-01 01:21:00,15.148320119497052,62.86158701755747
2023-01-01 01:22:00,15.134464201883413,62.895810466663555
2023-01-01 01:23:00,15.183822857420987,62.791090853355264
2023-01-01 01:24:00,15.136246675836952,62.69703815426475
2023-01-01 01:25:00,15.186169837947206,62.6739881028597
2023-01-01 01:26:00,15.161908712916755,62.72647431831181
2023-01-01 01:27:00,15.148810675080322,62.746997428167845
2023-01-01 01:28:00,15.242766280604357,62.77818312411085
2023-01-01 01:29:00,15.227614885630558,62.622512550563734
2023-01-01 01:30:00,15.149358432111804,62.56471655938603
2023-01-01 01:31:00,15.238542658155504,62.544358362488204
2023-01-01 01:32:00,15.246505151261298,62.58291532833215
2023-01-01 01:33:00,15.199897025213081,62.5614067870522
2023-01-01 01:34:00,15.155241532012107,62.570030007628624
2023-01-01 01:35:00,15.205218977620488,62.42661865753221
2023-01-01 01:36:00,15.126817733284128,62.59792027774231
2023-01-01 01:37:00,15.141906895406306,62.41974403202568
2023-01-01 01:38:00,15.143073327965476,62.45656074570207
2023-01-01 01:39:00,15.20671392171293,62.42080682962763
2023-01-01 01:40:00,15.217883845122614,62.41084979177117
2023-01-01 01:41:00,15.177171254733326,62.38712502773874
2023-01-01 01:42:00,15.143706569427247,62.26116808955195
2023-01-01 01:43:00,15.184683491885982,62.361093250807976
2023-01-01 01:44:00,15.237941219347592,62.11410724526191
2023-01-01 01:45:00,15.166328112397762,62.31899594223205
2023-01-01 01:46:00,15.15015703302268,62.24408656640312
2023-01-01 01:47:00,15.195830796170915,62.08511077946332
2023-01-01 01:48:00,15.232355912564183,62.116369468213115
2023-01-01 01:49:00,15.217506417177896,62.22950960493892
2023-01-01 01:50:00,15.132340654881856,62.1760871412489
2023-01-01 01:51:00,15.158960719385659,61.98776808071469
2023-01-01 01:52:00,15.181304406082596,62.049824541173656
2023-01-01 01:53:00,15.20146391809431,62.094452214144525
2023-01-01 01:54:00,15.15258886303451,62.113062234908774
2023-01-01 01:55:00,15.142289317774734,62.09970702012379
2023-01-01 01:56:00,15.158013553188974,61.87750149247662
2023-01-01 01:57:00,15.209512373314498,61.97352619491944
2023-01-01 01:58:00,15.090013545530178,61.9477412431958
2023-01-01 01:59:00,15.264207142097497,61.93003125312712
2023-01-01 02:00:00,15.674107601775006,61.85878055113904
2023-01-01 02:01:00,15.634508858739087,61.74708703044691
2023-01-01 02:02:00,15.675788836422065,61.63426671727772
2023-01-01 02:03:00,15.700647789924302,61.83164639488326
2023-01-01 02:04:00,15.647101911255668,61.72746143269159
2023-01-01 02:05:00,15.688359965242137,61.74830173004142
2023-01-01 02:06:00,15.652412837355994,61.67054868543508
2023-01-01 02:07:00,15.652454830975008,61.67323121609843
2023-01-01 02:08:00,15.673702621070476,61.63650581419202
